"title","year","genre","duration","metacritic","rating","votes","worldwide_gross_income","user_review","critics_review"
"Doctor Zhivago",1965,"Drama",197,NA,8,52477,111.918564,299,102
"For a Few Dollars More",1965,"Western",132,NA,8.3,137508,15,294,134
"Repulsion",1965,"Drama",105,91,7.8,31952,0.033174,239,174
"The Sound of Music",1965,"Biography",172,NA,8,134605,159.413574,486,137
"Thunderball",1965,"Action",130,NA,7,74753,63.595658,343,108
"Blow-Up",1966,"Drama",111,NA,7.7,37849,0.006066,295,139
"The Good, the Bad and the Ugly",1966,"Western",161,90,8.9,453065,25.252481,1117,211
"How the Grinch Stole Christmas!",1966,"Animation",NA,NA,8.4,29622,NA,NA,NA
"Fahrenheit 451",1966,"Drama",112,NA,7.2,30813,0.000509,196,89
"Manos: The Hands of Fate",1966,"Horror",70,NA,1.9,29609,NA,711,111
"Persona",1966,"Drama",85,NA,8.2,53532,0.025407,232,143
"Who's Afraid of Virginia Woolf?",1966,"Drama",131,NA,8.1,50990,28.005068,291,97
"Belle de Jour",1967,"Drama",100,NA,7.8,26839,4.156279,134,151
"Bonnie and Clyde",1967,"Biography",111,81,7.9,74364,NA,442,109
"Cool Hand Luke",1967,"Crime",127,NA,8.2,109282,NA,336,130
"The Dirty Dozen",1967,"Action",150,NA,7.8,49462,NA,190,90
"The Graduate",1967,"Comedy",106,77,8,196810,105.015008,752,184
"Guess Who's Coming to Dinner",1967,"Comedy",108,NA,7.8,26643,56.666667,384,72
"The Jungle Book",1967,"Animation",78,NA,7.6,107025,210.310084,172,131
"In the Heat of the Night",1967,"Crime",110,NA,8,45143,0.027669,225,108
"Le Samoura<U+FFFD>",1967,"Crime",105,NA,8.1,28252,NA,134,104
"You Only Live Twice",1967,"Action",117,NA,6.9,68016,43.084787,316,111
"2001: A Space Odyssey",1968,"Mystery",149,86,8.3,377539,68.989547,2163,267
"Bullitt",1968,"Action",114,NA,7.5,43049,0.51135,382,109
"Chitty Chitty Bang Bang",1968,"Adventure",144,NA,6.9,27432,0.000398,187,52
"Night of the Living Dead",1968,"Drama",96,NA,8,81338,0.236452,650,226
"The Party",1968,"Comedy",99,NA,7.6,27929,0.010631,195,69
